Tipo,Descripcion_alimento,Type_EN,Food_description_EN,Nombre_cientifico,Porcion_comestible_pct,Energia_kJ,Energia_kcal,Humedad_g,Cenizas_g,Extracto_etereo_g,AGS_g,AGMI_g,AGPI_g,Colesterol_mg,Proteina_bruta_g,Hidratos_carbono_g,Azucares_g,Fibra_bruta_g,Fibra_DT_g,Fibra_D_Insol_g,Ca_mg,P_mg,Fe_mg,Na_mg,K_mg,Mg_mg,Cu_mg,Zn_mg,Mn_mg,Se_mg,Li_mg,VitA_UI,VitA_ug_RAE,Carotenos_mg,Bcarotenos_mg,VitB1_mg,VitB2_mg,Niacina_mg,Ac_ascorbico_mg,VitB6_mg,VitB12_ug,Acido_folico_ug,Folato_ug_DFE,VitD_ug
SEMILLAS DE CEREALES Y DERIVADOS,"Arroz, atole",CEREALS AND BY-PRODUCTS,"Rice, gruel",,1.00,1531.00,366.00,10.00,1.50,2.80,*,*,*,*,10.50,74.70,*,0.50,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
SEMILLAS DE CEREALES Y DERIVADOS,"Arroz, cereal para eano arro inao",CEREALS AND BY-PRODUCTS,"Rice, breakfast cereal",,1.00,1634.00,410.00,2.84,1.85,2.85,0.36,324.00,0.29,0.00,9.29,80.08,7.65,0.68,0.60,0.50,5.45,98.00,1.88,429.35,84.79,16.11,0.26,0.82,*,*,*,2225.34,704.00,0.00,*,0.97,1.65,28.97,65.50,1.94,5.45,454.00,1027.00,3.00
SEMILLAS DE CEREALES Y DERIVADOS,"Arroz, cereal para el eano inao con cubierta abor cocoate",CEREALS AND BY-PRODUCTS,"Rice, breakfast (cocoate coate e",,1.00,1612.00,385.00,4.00,2.20,1.23,1.99,0.40,0.23,0.00,5.93,86.03,38.50,1.30,1.90,*,43.22,102.00,4.75,153.38,234.18,57.49,0.33,1.03,1.10,0.02,*,138.70,*,*,0.00,1.49,2.27,17.50,49.00,3.28,6.92,633.00,1080.00,4.10
SEMILLAS DE CEREALES Y DERIVADOS,"Arroz, cocido banco",CEREALS AND BY-PRODUCTS,"Rice, cooked ite",,1.00,365.00,87.00,78.20,0.60,0.12,0.07,0.09,0.08,0.00,1.60,19.48,0.05,0.00,0.52,0.50,8.00,32.50,0.85,485.00,76.00,7.00,0.10,0.50,0.30,*,*,0.00,0.00,0.00,0.00,0.01,0.01,0.07,0.00,0.09,0.00,3.00,97.00,0.00
SEMILLAS DE CEREALES Y DERIVADOS,"Arroz, con leche",CEREALS AND BY-PRODUCTS,Rice it mi,,1.00,1036.00,247.00,63.70,1.20,19.20,*,*,*,*,3.30,13.70,*,0.18,*,*,155.20,13.18,0.28,57.44,94.10,5.96,0.00,0.48,*,*,*,11.78,*,*,*,0.04,0.01,0.50,*,*,*,*,*,*
SEMILLAS DE CEREALES Y DERIVADOS,"Arroz, con verduras",CEREALS AND BY-PRODUCTS,Rice it eetabe,,1.00,1494.00,357.00,8.70,1.00,0.90,*,*,*,*,8.60,78.70,*,2.10,*,*,*,*,*,17.69,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
SEMILLAS DE CEREALES Y DERIVADOS,"Arroz, galleta azucarada",CEREALS AND BY-PRODUCTS,"Rice, sugar cookie",,1.00,1992.00,476.00,4.10,2.00,29.10,*,*,*,*,6.70,49.90,*,8.20,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
SEMILLAS DE CEREALES Y DERIVADOS,"Arroz, grano pulido a granel",CEREALS AND BY-PRODUCTS,Rice mie rain in bulk,Oryza sativa L.,1.00,1508.00,360.00,11.55,0.75,0.88,0.18,0.21,0.18,0.00,7.86,78.10,0.12,3.08,1.30,0.52,10.50,147.50,0.93,3.90,115.00,25.00,0.22,1.09,0.99,0.01,*,0.00,0.00,0.00,0.00,0.32,0.04,2.40,0.00,0.16,0.00,6.00,*,0.00
SEMILLAS DE CEREALES Y DERIVADOS,"Arroz, guisado",CEREALS AND BY-PRODUCTS,Rice tee,,1.00,592.00,141.00,69.80,0.90,4.95,*,*,*,*,2.15,22.12,*,0.08,*,*,4.00,50.00,1.75,*,*,*,*,*,*,*,*,*,*,*,0.07,0.02,0.01,0.21,0.00,*,*,*,*,*
SEMILLAS DE CEREALES Y DERIVADOS,"Arroz, harina refinaa",CEREALS AND BY-PRODUCTS,Rice refine or,,1.00,1538.00,368.00,9.90,0.80,0.90,0.39,0.44,0.38,0.00,9.00,80.65,0.12,0.40,2.40,*,10.00,98.00,0.35,0.00,76.00,35.00,0.20,0.80,0.60,0.01,*,0.00,0.00,*,*,0.14,0.02,2.59,0.00,0.44,0.00,0.00,4.00,0.00
